vendor,display_name,sample_sku,official_website_url,official_website_status,official_website_source,official_website_confidence,search_url_template,search_template_status,search_result_mode,resolver_hint,review_status,review_notes,last_checked_utc
Full Send Diesel,Full Send Diesel,FSD-01-B,https://fullsenddiesel.com/,probable,search_discovery:ddg,high,https://fullsenddiesel.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Fumoto Engineering,Fumoto Engineering,F-104,https://www.fumotousa.com/,confirmed,search_result_official_domain_plus_direct_homepage_validation,high,https://www.fumotousa.com/?target=search&mode=search&substring={sku}&including=all,confirmed,search_results,playwright_search_submit,pending,,
Garrett,Garrett,GAR-448486-0004,https://garrett.com/,probable,search_discovery:ddg,high,https://garrett.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Gator Fasteners,Gator Fasteners,GF-HSK64,https://gatorfasteners.com/,probable,search_discovery:ddg,high,,unresolved,,,pending,search-template fetch error: HTTP Error 405: Not Allowed,
Gearhead Automotive Performance,Gearhead Automotive Performance,SCT-7015C60-SN,https://www.gearheadautomotive.co/,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
Gen-Y Hitch,GEN-Y Hitch,GH-060,https://genyhitch.com/,probable,search_discovery:ddg,high,https://genyhitch.com/search?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://genyhitch.com/search?q={sku}.,
Generic,Generic,DPP-OCK-PSD-9403,,placeholder,manual_placeholder_cleanup,low,,unreviewed,,,pending,Placeholder vendor row; no official manufacturer website assigned,
Generic Manufacturer,Generic Manufacturer,DPP-1G195,,placeholder,manual_placeholder_cleanup,low,,unreviewed,,,pending,Placeholder vendor row; no official manufacturer website assigned,
Generic Race Parts (GRP),Generic Race Parts (GRP),GRP-FUELCAP,https://www.gregsraceparts.com/,probable,search_discovery:ddg,high,https://www.gregsraceparts.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Glacier Diesel Power,Glacier Diesel Power,GDP-1012FE,https://www.glacierdieselpower.com/,probable,search_discovery:ddg,high,https://www.glacierdieselpower.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Grizzly,Grizzly Products,GZ-GA108,https://www.grizzly.com/,probable,search_discovery:ddg,high,https://www.grizzly.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
H&S Motorsports,H&S Motorsports,HS-121003,https://hsmotorsports.com/,confirmed,direct_homepage_validation,high,https://hsmotorsports.com/search?q={sku},probed,search_results,common_template_probe_with_playwright,pending,,
HPS Performance,HPS Performance,HPS-57-1539,https://hpsperformanceproducts.com/,probable,search_discovery:ddg,high,https://hpsperformanceproducts.com/pages/search-results-page?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://hpsperformanceproducts.com/pages/search-results-page?q={sku}.,
HUBB Reuseable Oil Filters,HUBB Reuseable Oil Filters,HUBB-3304,https://www.hubbfilters.com/,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
Hamilton Cams,Hamilton Cams,HAM-SC-001,https://hamiltoncams.com/,probable,search_discovery:ddg,high,https://hamiltoncams.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Hawk Performance,Hawk Performance,HAWK-HTC4466,https://www.hawkperformance.com/,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
Hays Clutches,Hays Clutches,HAYS-92D-3000,https://www.holley.com/brands/hays/,probable,search_discovery:ddg,medium,https://www.holley.com/search/?q={sku},confirmed,search_results,manual_parent_brand_holley_search,pending,Hays Clutches uses Holley search. Confirmed manual search route: https://www.holley.com/search/?q={sku}.,
Heatshield Products,Heatshield Products,HP-300074,https://heatshieldproducts.com/,probable,search_discovery:ddg,high,https://heatshieldproducts.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Hellwig Products,Hellwig Products,HEL-7252,https://www.hellwigproducts.com/,probable,search_discovery:ddg,high,https://www.hellwigproducts.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Highway Products,Highway Products,HP-4030-049,https://highwayproducts.com/,probable,search_discovery:ddg,high,https://highwayproducts.com/?s={sku},confirmed,search_results,playwright_search_submit,pending,,
Holders Diesel,Holders Diesel,HD-60-STK-PS,https://holdersdiesel.com/collections/all,probable,search_discovery:ddg,high,https://holdersdiesel.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form_with_playwright,pending,,
Holset Turbochargers,Holset Turbochargers,HOL-4034315,https://turbochargersbyholset.com/,probable,search_discovery:ddg,high,https://turbochargersbyholset.com/?s={sku},confirmed,search_results,playwright_search_submit,pending,,
Hot Shot's Secret High Performance Additives,Hot Shot's Secret High Performance Additives,HSS-AAL4Z,https://www.hotshotsecret.com/,probable,search_discovery:ddg,high,https://www.hotshotsecret.com/?s={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://www.hotshotsecret.com/?s={sku}.,
Hypertech,Hypertech,HYP-730127,https://hypertech.com/,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
ICON Alloys,ICON Alloys,IA-192050,https://iconvehicledynamics.com/collections/wheel,confirmed,direct_homepage_validation_via_brand_redirect,medium,https://iconvehicledynamics.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,.com tld; vendor key present in result text; deep path candidate,
ICON Vehicle Dynamics,ICON Vehicle Dynamics,ICON-37024,https://iconvehicledynamics.com/,confirmed,direct_homepage_validation,high,https://iconvehicledynamics.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
ISSPRO,ISSPRO,ISS-R8912,https://isspro.com/,confirmed,direct_homepage_validation,high,https://isspro.com/Search/PartNoSearch?q={sku},probed,search_results,common_template_probe,pending,,
Industrial Injection,Industrial Injection,II-227411,https://industrialinjection.com/,confirmed,direct_homepage_validation,high,https://industrialinjection.com/search?type=product%2Carticle%2Cpage%2Ccollection&options[prefix]=last&q={sku},confirmed,search_results,playwright_search_submit,pending,,
Injen Technology,Injen Technology,INJ-EVO7008,https://injen.com/,probable,search_discovery:ddg,high,https://injen.com/search.html?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Irate Diesel Performance,Irate Diesel Performance,IDP-T4CMSSD,https://www.iratediesel.com/about-us/,probable,search_discovery:ddg,high,https://www.iratediesel.com/?s={sku},confirmed,search_results,manual_user_seed,pending,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: Bot challenge page,
JKS Manufacturing,JKS Manufacturing,JKS-JKS2033,https://jksmfg.com/,probable,search_discovery:ddg,high,https://jksmfg.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
K&N Filters,K&N Filters,KN-E-0776,https://www.knfilters.com/,probable,official_domain_match; homepage blocks scripted requests,high,https://www.knfilters.com/search/{sku},confirmed,search_results,manual_user_seed,pending,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: search-template fetch error: HTTP Error 403: Forbidden,
KC HiLiTES,KC HiLiTES,KC-490,https://www.kchilites.com/,probable,search_discovery:ddg,high,https://www.kchilites.com/catalogsearch/result/?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: search-template fetch error: HTTP Error 403: Forbidden,
KC Turbos,KC Turbos,KC-300365,https://kcturbos.com/,confirmed,direct_homepage_validation,high,https://kcturbos.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Kelderman,Kelderman,KEL-69003,https://kelderman.com/,probable,search_discovery:ddg,high,https://kelderman.com/?s={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://kelderman.com/?s={sku}.,
Kleinn Air Horns,Kleinn Air Horns,KLN-6880,https://kleinn.com/,probable,search_discovery:ddg,medium,https://kleinn.com/pages/search-results-page?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: search-template fetch error: HTTP Error 429: Too Many Requests,
Kryptonite,Kryptonite Products,KRY-KR175,https://kryptoniteproducts.com/,probable,search_discovery:ddg,high,https://kryptoniteproducts.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
LRB Speed,LRB Speed,LRB-10380,https://lrbspeed.com/,probable,search_discovery:ddg,high,https://lrbspeed.com/?s={sku}&post_type=product,confirmed,search_results,playwright_search_submit,pending,,
Longhorn Fab Shop,Longhorn Fab Shop,LFS-201051,https://longhornfabshop.com/,probable,search_discovery:ddg,high,https://longhornfabshop.com/search.php?search_query={sku},confirmed,search_results,playwright_search_submit,pending,,
MAHLE,MAHLE,MAH-54174,https://www.mahle.com/,probable,search_discovery:ddg,high,https://www.mahle.com/en/search/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
MBRP Exhaust,MBRP Exhaust,MBRP-T5156,https://mbrpexhauststore.com/,confirmed,direct_homepage_validation,medium,https://mbrpexhauststore.com/search?q={sku},probed,search_results,common_template_probe_with_playwright,pending,,
MOOG,MOOG,MOG-479,https://www.moog.com/,probable,search_discovery:ddg,medium,https://moog.com/?s={sku},probed,search_results,common_template_probe,pending,,
Mac's Custom Tie Downs,Mac's Custom Tie Downs,MAC-520215,https://www.macscustomtiedowns.com/,probable,search_discovery:ddg,high,https://www.macscustomtiedowns.com/search.aspx?ss={sku},confirmed,search_results,manual_cleanup_from_browser_validation,pending,,
Mag-Hytec,Mag-Hytec,MH-727-D,https://mag-hytec.com/,probable,search_discovery:ddg,high,https://mag-hytec.com/?s={sku},confirmed,search_results,playwright_search_submit,pending,,
MagnaFlow Exhaust,MagnaFlow Exhaust,MF-12775,https://www.magnaflow.com/,probable,search_discovery:ddg,high,https://www.magnaflow.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Manton Pushrods,Manton Pushrods,MP-D-505-24v,https://mantonpushrods.com/,probable,search_discovery:ddg,high,https://mantonpushrods.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
MaxTrac Suspension,MaxTrac Suspension,MT-993300,https://maxtracsuspension.com/,probable,search_discovery:ddg,high,https://maxtracsuspension.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
McGaughy's Suspension Parts,McGaughy's Suspension Parts,MCG-51052,https://mcgaughys.com/products-home-page/,probable,search_discovery:ddg,high,https://mcgaughys.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Mean Green,Mean Green,MEAN-MG7892,https://mean-green-cleaner.com/,probable,search_discovery:ddg,high,https://mean-green-cleaner.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Mechman Alternators,Mechman Alternators,MECH-7796240,https://www.mechman.com/,probable,search_discovery:ddg,high,https://www.mechman.com/search.php?search_query={sku},confirmed,search_results,playwright_search_submit,pending,,
Mel's Manufacturing,Mel's Manufacturing,MEL-6185,https://www.melsmfg.com/,confirmed,search_result_official_domain_plus_direct_homepage_validation,high,https://www.melsmfg.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,.com tld; vendor key present in result text; deep path candidate,
Merchant Automotive,Merchant Automotive,MA-10813,https://www.merchant-automotive.com/,probable,search_discovery:ddg,high,https://www.merchant-automotive.com/shop/?search_query={sku},confirmed,search_results,playwright_search_submit,pending,,
Method Race Wheels,Method Race Wheels,MRW-MR301785,https://www.methodracewheels.com/,confirmed,direct_homepage_validation,high,https://www.methodracewheels.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Mevotech,Mevotech,MT-MK7467,https://www.mevotech.com/,probable,search_discovery:ddg,high,https://www.mevotech.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Mile Marker,Mile Marker,MM-19-00105,https://www.milemarker.com/pages/about-us,probable,search_discovery:ddg,high,,unresolved,,,pending,Bot challenge page,
Mishimoto,Mishimoto,MISH-R1553,https://www.mishimoto.com/,confirmed,direct_homepage_validation,high,https://www.mishimoto.com/catalogsearch/result/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Mob Armor,Mob Armor,MOBM2-BLK-LG,https://www.mobarmor.com/,probable,search_discovery:ddg,high,https://www.mobarmor.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Mopar | Factory OEM Dodge Ram,Mopar | Factory OEM Dodge Ram,MOP-52087514,https://www.mopar.com/en-us.html,probable,official_domain_match; homepage blocks scripted requests,high,https://www.mopar.com/en-us/search/results.html?search={sku},confirmed,search_results,manual_user_seed,pending,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: search-template fetch error: HTTP Error 403: Forbidden,
Morimoto,Morimoto,MOR-LF553,https://www.morimotohid.com/,confirmed,search_result_official_domain_plus_direct_homepage_validation,high,https://morimotohid.com/search?q={sku},probed,search_results,common_template_probe_with_playwright,pending,,
N-FAB,N-FAB,NFAB-F171MRDS,https://nfabco.com/,probable,search_discovery:ddg,medium,https://nfabco.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
NAPA Filters,NAPA Filters,NAPA-3408,https://napa-filters.com/filter-lookup,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
NOS Nitrous Oxide Systems,NOS Nitrous Oxide Systems,NOS-02521NOS,https://www.noswizard.com/,probable,search_discovery:ddg,high,https://www.noswizard.com/catalogsearch/result/?q={sku},confirmed,search_results,playwright_search_submit,pending,,
NRS Galvanized Brakes,NRS Galvanized Brakes,NRS-NS909,https://nrsbrakes.com/,probable,search_discovery:ddg,high,https://nrsbrakes.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form_with_playwright,pending,,
Nemesis Industries,Nemesis Industries,NEM-121840,https://nem-ind.com/,probable,search_discovery:ddg,high,https://nem-ind.com/catalogsearch/result/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Nitro Gear & Axle,Nitro Gear & Axle,AEV-NRM43400AA,https://www.nitro-gear.com/,probable,official_domain_match (ssl issue in scripted validation),medium,,unresolved,,,pending,search-template fetch error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>,
Nitrous Express,Nitrous Express,NX-D1000,https://www.nitrousexpress.com/,probable,search_discovery:ddg,high,https://www.nitrousexpress.com/search.asp?search_prod={sku},confirmed,search_results,playwright_search_submit,pending,,
No Limit Fabrication,No Limit Fabrication,NL-67OP,https://nolimitfabrication.com/,confirmed,direct_homepage_validation,medium,https://nolimitfabrication.com/search.html?q={sku},confirmed,search_results,manual_results_page_clickthrough,pending,"Validated against the live Partslogic storefront. The homepage widget uses input#sui-search-bar-input inside #pl-search-bar-container, but the stronger runtime path is direct GET /search.html?q={sku}. That results page returns /i-... product links for queries like 67OP, so treat it as a results-page clickthrough resolver rather than a popup-only search.",
OLM Lighting,OLM Lighting,OLM-OLME.16016.1,https://olm.com/,confirmed,search_result_official_domain_plus_direct_homepage_validation,high,https://olm.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Oracle Lighting,Oracle Lighting,ORA-5865-504,http://oraclelighting.channelsync.com/,probable,search_discovery:ddg,high,https://www.oraclelights.com/search?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://www.oraclelights.com/search?q={sku}.,
Paramount Automotive,Paramount Automotive,,https://www.paramountauto.com/about/,probable,search_discovery:ddg,high,,unresolved,,,pending,search-template fetch error: HTTP Error 403: Forbidden,
PMF Suspension,PMF Suspension,PMF-FRD-5004,https://www.pmfsuspension.com/,confirmed,direct_homepage_validation,high,https://www.pmfsuspension.com/search.asp?keyword={sku},confirmed,search_results,manual_results_page_clickthrough,pending,"Known results-page search route; direct fetch is currently blocked here by Cloudflare 403, but first result is typically the target product.",
PML Covers,PML Covers,PML-9393-B,https://pmlgarage.com/,probable,search_discovery:ddg,medium,https://yourcovers.com/search.html?Search={sku},confirmed,search_results,manual_user_seed_cross_domain,pending,Confirmed manual search route on vendor domain: https://yourcovers.com/search.html?Search={sku}.,
PPE (Pacific Performance Eng.),PPE (Pacific Performance Eng.),PPE-1110100,https://ppepower.com/,confirmed,direct_homepage_validation,high,https://ppepower.com/search?type=product%2Cpage%2Carticle%2Ccollection&options%5Bunavailable_products%5D=show&options%5Bprefix%5D=last&q={sku},confirmed,search_results,playwright_search_submit,pending,,
"PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis","PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis",PPEI-EZLYNK30-LML,https://ppei.com/,probable,search_discovery:ddg,medium,https://ppei.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form_with_playwright,pending,,
PROJECT X,PROJECT X,PX-AC538806-1,https://projectxoffroad.com/,probable,search_result_official_domain_match,high,https://projectxoffroad.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form_with_playwright,pending,,
PSC,PSC Performance Steering Components,PSC-SG851,https://www.pscsteering.com/,probable,search_discovery:ddg,high,https://www.pscsteering.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form_with_playwright,pending,,
PacBrake,PacBrake,PB-C11342,https://pacbrake.com/,confirmed,direct_homepage_validation,high,https://pacbrake.com/search.html?Search={sku},confirmed,search_results,playwright_search_submit,pending,,
Performance Diesel Inc.,Performance Diesel Inc.,PDI-3466CR,https://pdidiesel.com/,confirmed,search_result_official_domain_plus_direct_homepage_validation,high,https://pdidiesel.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,.com tld; vendor key present in result text; root path,
Power Driven Diesel,Power Driven Diesel,PDD-RIT0001,https://powerdriven.com/,probable,search_discovery:ddg,high,https://powerdriven.com/pages/search?query={sku},confirmed,search_results,manual_user_confirmed_existing_vendor_search,pending,User previously confirmed Power Driven Diesel search route: https://powerdriven.com/pages/search?query={sku}.,
Power Products Unlimited,Power Products Unlimited,PPU-ARBCOMPMOUNT,https://powerproductsunlimited.com/,probable,search_discovery:ddg,high,https://powerproductsunlimited.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Power Stroke Products,Power Stroke Products,PSP-PP-SS-12V,https://powerstrokeproducts.com/,probable,search_discovery:ddg,high,https://powerstrokeproducts.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
PowerStop,PowerStop,PSB-SW-1218,https://www.powerstop.com/about-us/,probable,search_discovery:ddg,high,https://www.powerstop.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Powermaster Performance Starters and Alternators,Powermaster Performance Starters and Alternators,PM-7767,https://www.powermasterperformance.com/about-us,probable,search_discovery:ddg,high,https://www.powermasterperformance.com/catalogsearch/result/index/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Pro Eagle Floor Jacks,Pro Eagle Floor Jacks,PE-EXT8,https://www.proeagle.com/,probable,search_discovery:ddg,high,https://www.proeagle.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
ProActive Gears,ProActive Gears,PAG-21966,https://www.proactivegears.com/,probable,search_discovery:ddg,high,https://www.proactivegears.com/searchresults.asp?Search={sku}&Submit=,confirmed,search_results,playwright_search_submit,pending,,
Proforged,Proforged Steering & Suspension,PROF-104-10966,https://proforged.com/,probable,search_discovery:ddg,high,https://proforged.com/search/?query={sku},confirmed,search_results,manual_user_seed,pending,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: search-template fetch error: HTTP Error 403: Forbidden,
Prothane,Prothane,PRTH-7-141,https://prothane.com/,probable,search_discovery:ddg,high,https://prothane.com/?post_type=product&product_cat=&s={sku},confirmed,search_results,playwright_search_submit,pending,,
PureDPF,PureDPF,PDPF-P-DPF-44003,https://www.puredpf.com/,probable,search_discovery:ddg,high,https://www.puredpf.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
PurePower,PurePower,PP-7782-PP,http://www.purepoweraps.com/,probable,search_discovery:ddg,high,https://purepowertechnologies.com/?s={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://purepowertechnologies.com/?s={sku}.,
Putco Truck Accessories,Putco Truck Accessories,PUT-92801,https://www.putco.com/,probable,search_discovery:ddg,medium,https://www.putco.com/?s={sku},confirmed,search_results,playwright_search_submit,pending,,
RECON Lighting,RECON Lighting,REC-26413,https://gorecon.com/,probable,search_discovery:ddg,medium,https://gorecon.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form_with_playwright,pending,,
Race Sport Lighting,Race Sport Lighting,RSL-9FT3PE,https://www.racesportinc.com/,probable,search_discovery:ddg,high,https://www.racesportinc.com/catalogsearch/result/index/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Racor,Racor,RAC-RK4616,https://racorstore.com/,probable,search_discovery:ddg,high,https://racorstore.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Ranch Hand,Ranch Hand,RNH-BBD948BLS,https://www.ranchhandbumpershop.com/about-us/,probable,search_discovery:ddg,high,,unresolved,,,pending,search-template fetch error: HTTP Error 500: Internal Server Error,
Rancho,Rancho,RAN-RS5419,https://www.gorancho.com/,probable,search_discovery:ddg,high,https://www.gorancho.com/search?q={sku}&options%5Bprefix%5D=last&type=product,confirmed,search_results,playwright_search_submit,pending,,
Rare Parts Steering and Suspension,Rare Parts Steering and Suspension,RP20610,https://www.rareparts.com/,probable,search_discovery:ddg,high,https://rareparts.com/search?q={sku},probed,search_results,common_template_probe,pending,,
ReadyLIFT Suspension,ReadyLIFT Suspension,RL-69-4630,https://www.readylift.com/,confirmed,direct_homepage_validation,high,https://www.readylift.com/catalogsearch/result/?cat=2&q={sku},confirmed,search_results,playwright_search_submit,pending,,
Realtruck Superlift Suspension,RealTruck SuperLift Suspension,RT-146,https://realtruck.com/b/superlift/,confirmed,direct_homepage_validation_via_superlift_redirect,medium,https://realtruck.com/search/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Red-Head Steering Gears Inc.,Red-Head Steering Gears Inc.,RH-2773,https://redheadsteeringgears.com/,confirmed,direct_homepage_validation,high,https://redheadsteeringgears.com/search?q={sku},probed,search_results,common_template_probe,pending,,
"Reid Racing, Inc.","Reid Racing, Inc.",REID-D60005-2,https://www.reidracing.com/,probable,search_result_official_domain_match,high,https://www.reidracing.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
RetroBright LED,RetroBright LED,RB-LFRB130,https://www.holley.com/brands/holley_retrobright/,probable,search_result_official_brand_page,high,https://www.holley.com/search/?q={sku},confirmed,search_results,manual_parent_brand_holley_search,pending,RetroBright LED uses Holley search. Confirmed manual search route: https://www.holley.com/search/?q={sku}.,
Rev-X Oil & Fuel Additive,Rev-X Oil & Fuel Additive,Rev-X-0400,https://revxoil.com/,confirmed,direct_homepage_validation,high,https://revxoil.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
RevMax Converters,RevMax Converters,REVM-478-311,https://www.revmaxconverters.com/,probable,search_result_official_domain; homepage blocks scripted requests,high,https://revmaxconverters.com/?s={sku},probed,search_results,common_template_probe,pending,,
Revolution Gear & Axle,Revolution Gear & Axle,D70-373,https://revolutiongear.com/,confirmed,direct_homepage_validation,high,https://revolutiongear.com/search.php?search_query={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Rigid Industries,Rigid Industries,RIGID-40200,https://www.rigidindustries.com/,confirmed,direct_homepage_validation,high,https://www.rigidindustries.com/catalogsearch/result/index/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
River City Turbo,River City Turbo,RCT-GM-3,https://rivercityturbo.com/,no_site,direct_homepage_validation,high,,unresolved,,manual_no_searchable_vendor_site,pending,User confirmed there is no searchable vendor website. Existing homepage is an under-construction brochure site only.,
Rock Krawler,Rock Krawler,RK-RK02542,https://rockkrawler.com/,confirmed,direct_homepage_validation,high,https://rockkrawler.com/search.php?search_query={sku},confirmed,search_results,playwright_search_submit,pending,,
Rock Slide Engineering,Rock Slide Engineering,RSE-RS-910,https://rockslideengineering.com/,confirmed,direct_homepage_validation,high,https://rockslideengineering.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Rock Tamers Mud Flaps,Rock Tamers Mud Flaps,RT-00108,https://rocktamers.com/,confirmed,direct_homepage_validation,high,https://rocktamers.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
RockJock,RockJock,RJ-CE-9114,https://www.rockjock4x4.com/,confirmed,direct_homepage_validation,high,https://www.rockjock4x4.com/search?keywords={sku},confirmed,search_results,playwright_search_submit,pending,,
RokBlokz,RokBlokz Mud Flaps,RKB-F17SRW-BK-BK,https://rokblokz.com/,confirmed,direct_homepage_validation,high,https://rokblokz.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Rotomaster,Rotomaster,ROT-H1350212N,https://rotomaster.com/,confirmed,direct_homepage_validation,high,https://rotomaster.com/search.php?search_query={sku},probed,search_results,common_template_probe,pending,,
Royalty Core,Royalty Core,RC-15966,https://www.royaltycore.com/,confirmed,direct_homepage_validation,high,https://www.royaltycore.com/search.html?q={sku},confirmed,search_results,manual_html_form_discovery,pending,"Validated from https://www.royaltycore.com/search-2.html. Site exposes a GET form action https://www.royaltycore.com/search.html with input name q, producing results URLs like https://www.royaltycore.com/search.html?q={sku}.",
S&B,S&B,SB-832018,https://sbfilters.com/,confirmed,direct_homepage_validation,high,https://sbfilters.com/pages/search?query={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: search-template fetch error: HTTP Error 429: Too Many Requests,
S&S Diesel Motorsport,S&S Diesel Motorsport,SSDM-67F-DCR-1,https://ssdiesel.com/,confirmed,direct_homepage_validation,high,https://ssdiesel.com/?s={sku},confirmed,search_results,manual_wordpress_search_validation,pending,,
SCT,SCT,SCT-9817,https://sctflash.com/,confirmed,direct_homepage_validation,high,https://sctflash.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
SDHQ Off Road,SDHQ Off Road,SDHQ-10-1131-G4,https://sdhqoffroad.com/,confirmed,direct_homepage_validation,high,https://sdhqoffroad.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
SSBC-USA,SSBC-USA,SSBC-10126,https://ssbc-usa.com/,confirmed,direct_homepage_validation,high,https://ssbc-usa.com/search?type=product&q={sku},confirmed,search_results,playwright_search_submit,pending,,
Schaeffer's Lubricants,Schaeffer's Lubricants,SL-0219,https://www.schaefferoil.com/,confirmed,direct_homepage_validation,high,https://schaefferoil.com/search?q={sku},probed,search_results,common_template_probe,pending,,
Silverline Exhaust,Silverline Exhaust,SLV-UDM1,https://www.ansaautomotive.com/,probable,best_parent_brand_site_candidate; vendor-specific site not resolved,low,,unresolved,,,pending,"search-template fetch error: <urlopen error [Errno 8] nodename nor servname provided, or not known>",
Sinister Diesel,Sinister Diesel,SD-OC-6.0,https://sinisterdiesel.com/,confirmed,direct_homepage_validation,medium,https://sinisterdiesel.com/shop?Search={sku},confirmed,search_results,manual_form_action_validation,pending,,
Skyjacker Suspension,Skyjacker Suspension,SKY-D25,https://skyjacker.com/,confirmed,direct_homepage_validation,high,https://skyjacker.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form_with_playwright,pending,,
Smarty by MADS Electronics,Smarty by MADS Electronics,ME-J-06,https://madselectronics.com/,no_site,direct_homepage_validation,medium,,unresolved,,manual_no_searchable_vendor_site,pending,User confirmed there is no searchable vendor website. madselectronics.com redirects away and does not expose a usable vendor search path.,
Smeding Diesel,Smeding Diesel,SME-C6762EDRT,https://www.smedingdiesel.com/,confirmed,direct_homepage_validation,high,https://www.smedingdiesel.com/search?q={sku}&options%5Bprefix%5D=last,confirmed,search_results,playwright_search_submit,pending,,
